x,y,U,Err(U),Err(DU),Last Update Type, DU_x,DU_y
-0.992188,-0.484375,inf,inf,inf,inf,inf,0
-0.992188,-0.476562,inf,inf,inf,inf,inf,0
-0.992188,-0.46875,inf,inf,inf,inf,inf,0
-0.992188,-0.460938,inf,inf,inf,inf,inf,0
-0.992188,-0.453125,inf,inf,inf,inf,inf,0
-0.992188,-0.445312,inf,inf,inf,inf,inf,0
-0.992188,-0.4375,inf,inf,inf,inf,inf,0
-0.992188,-0.429688,inf,inf,inf,inf,inf,0
-0.992188,-0.421875,inf,inf,inf,inf,inf,0
-0.992188,-0.414062,inf,inf,inf,inf,inf,0
-0.992188,-0.40625,inf,inf,inf,inf,inf,0
-0.992188,-0.398438,inf,inf,inf,inf,inf,0
-0.992188,-0.390625,inf,inf,inf,inf,inf,0
-0.992188,-0.382812,inf,inf,inf,inf,inf,0
-0.992188,-0.375,inf,inf,inf,inf,inf,0
-0.992188,-0.367188,inf,inf,inf,inf,inf,0
-0.992188,-0.359375,inf,inf,inf,inf,inf,0
-0.992188,-0.351562,inf,inf,inf,inf,inf,0
-0.992188,-0.34375,inf,inf,inf,inf,inf,0
-0.992188,-0.335938,inf,inf,inf,inf,inf,0
-0.992188,-0.328125,inf,inf,inf,inf,inf,0
-0.992188,-0.320312,inf,inf,inf,inf,inf,0
-0.992188,-0.3125,inf,inf,inf,inf,inf,0
-0.992188,-0.304688,inf,inf,inf,inf,inf,0
-0.992188,-0.296875,inf,inf,inf,inf,inf,0
-0.992188,-0.289062,inf,inf,inf,inf,inf,0
-0.992188,-0.28125,inf,inf,inf,inf,inf,0
-0.992188,-0.273438,inf,inf,inf,inf,inf,0
-0.992188,-0.265625,inf,inf,inf,inf,inf,0
-0.992188,-0.257812,inf,inf,inf,inf,inf,0
-0.992188,-0.25,inf,inf,inf,inf,inf,0
-0.992188,-0.242188,inf,inf,inf,inf,inf,0
-0.992188,-0.234375,inf,inf,inf,inf,inf,0
-0.992188,-0.226562,inf,inf,inf,inf,inf,0
-0.992188,-0.21875,inf,inf,inf,inf,inf,0
-0.992188,-0.210938,inf,inf,inf,inf,inf,0
-0.992188,-0.203125,inf,inf,inf,inf,inf,0
-0.992188,-0.195312,inf,inf,inf,inf,inf,0
-0.992188,-0.1875,inf,inf,inf,inf,inf,0
-0.992188,-0.179688,inf,inf,inf,inf,inf,0
-0.992188,-0.171875,inf,inf,inf,inf,inf,0
-0.992188,-0.164062,inf,inf,inf,inf,inf,0
-0.992188,-0.15625,inf,inf,inf,inf,inf,0
-0.992188,-0.148438,inf,inf,inf,inf,inf,0
-0.992188,-0.140625,inf,inf,inf,inf,inf,0
-0.992188,-0.132812,1.00976,-1.01544,-0.265628,2.67269e-06,6.34082e-06,2
-0.992188,-0.125,1.00775,-1.01544,-0.250002,2.67757e-06,3.52114e-06,2
-0.992188,-0.117188,1.00586,-1.01544,-0.234375,2.68275e-06,9.23451e-07,2
-0.992188,-0.109375,1.00409,-1.01544,-0.218749,2.68814e-06,1.47906e-06,2
-0.992188,-0.101562,1.00244,-1.01544,-0.203123,2.69371e-06,3.71176e-06,2
-0.992188,-0.09375,1.00091,-1.01544,-0.1875,2.70103e-06,7.77762e-07,2
-0.992188,-0.0859375,0.999509,-1.01544,-0.171875,2.70716e-06,4.96744e-07,2
-0.992188,-0.078125,0.998228,-1.01544,-0.15625,2.7133e-06,1.98544e-07,2
-0.992188,-0.0703125,0.997068,-1.01544,-0.140625,2.71935e-06,1.20998e-07,2
-0.992188,-0.0625,0.99603,-1.01544,-0.125,2.72519e-06,4.6266e-07,2
-0.992188,-0.0546875,0.995115,-1.01544,-0.109374,2.73072e-06,8.19841e-07,2
-0.992188,-0.046875,0.994321,-1.01544,-0.0937492,2.73585e-06,1.17547e-06,2
-0.992188,-0.0390625,0.99365,-1.01544,-0.078124,2.74065e-06,1.50213e-06,2
-0.992188,-0.03125,0.993101,-1.01544,-0.0624988,2.74529e-06,1.76921e-06,2
-0.992188,-0.0234375,0.992674,-1.01544,-0.0468737,2.75008e-06,1.97747e-06,2
